v1,v2
0,Oh just getting even with u.... u?
0,No problem with the renewal. I.ll do it right away but i dont know his details.
0,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
0,Customer place i will call you.
0,So u gonna get deus ex?
0,Yupz... I've oredi booked slots 4 my weekends liao... 
0,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
0,Lil fever:) now fine:)
0,ÌÏ predict wat time Ì_'ll finish buying?
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
0,"aight we can pick some up, you open before tonight?"
0,Sian... Aft meeting supervisor got work 2 do liao... U working now?
0,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
0,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
0,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
0,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
0,I've not sent it. He can send me.
0,Why tired what special there you had
0,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
0,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
0,"Usf I guess, might as well take 1 car"
0,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
0,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
0,"Oh, then your phone phoned me but it disconnected"
0,Hope you are having a great day.
0,:) 
0,I sent them. Do you like?
0,If you don't respond imma assume you're still asleep and imma start calling n shit
0,have * good weekend.
0,Wat's da model num of ur phone?
0,Sorry i din lock my keypad.
0,I wish u were here. I feel so alone
0,Aight what time you want me to come up?
0,Hi kindly give us back our documents which we submitted for loan from STAPATI
0,I accidentally deleted the message. Resend please.
0,Oh is it! Which brand?
0,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
0,Oh... Kay... On sat right?
0,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
0,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
0,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... 
0,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
0,Ladies first and genus second k .
0,K...k...when will you give treat?
0,Why nothing. Ok anyway give me treat
0,"K, wat s tht incident?"
0,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
0,"It's wylie, you in tampa or sarasota?"
0,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
0,Prabha..i'm soryda..realy..frm heart i'm sory
0,"It'll be tough, but I'll do what I have to"
0,Printer is cool. I mean groovy. Wine is groovying
0,Can you talk with me..
0,How much you got for cleaning
0,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
0,Apart from the one i told you about yesterday?
0,LOL what happens in Vegas stays in vegas
0,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
0,"Sorry, I can't text &amp; drive coherently, see you in twenty"
0,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
0,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
0,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
0,Just finished eating. Got u a plate. NOT leftovers this time.
0,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
0,What u talking bout early morning? It's almost noon where your at!
0,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...
0,WOT U UP 2 J?
0,Dear i am not denying your words please
0,Anything lor if they all go then i go lor...
0,Y Ì_ wan to go there? C doctor?
0,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
0,Nope watching tv at home... Not going out. V bored...
0,"Miss ya, need ya, want ya, love ya."
0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
0,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
