v1,v2
0,"When you just put in the + sign, choose my number and the pin will show. Right?"
0,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But
0,Good. Good job. I like entrepreneurs
0,:( but your not here....
0,I'm serious. You are in the money base
0,Ok going to sleep. Hope i can meet her.
0,Were somewhere on Fredericksburg
0,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
0,Cps is causing the outages to conserve energy.
0,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
0,No let me do the math. Your not good at it.
0,"That means you got an A in epi, she.s fine. She.s here now."
0,ÌÏ got wat to buy tell us then Ì_ no need to come in again.
0,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
0,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
0,You call times job today ok umma and ask them to speed up
0,Where at were hungry too
0,You all ready for * big day tomorrow?
0,Your brother is a genius
0,Already one guy loving you:-.
0,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
0,Me i'm not workin. Once i get job...
0,I want to be there so i can kiss you and feel you next to me
0,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
0,At home watching tv lor.
0,K I'll call you when I'm close
0,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
0,"Excellent, I'll see what riley's plans are"
0,Great. P diddy is my neighbor and comes for toothpaste every morning
0,I want to lick your pussy now...
0,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
0,Dude im no longer a pisces. Im an aquarius now.
0,"Call me da, i am waiting for your call."
0,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
0,Im good! I have been thinking about you...
0,Thats cool. How was your day?
0,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
0,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
0,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
0,Its ok..come to my home it vl nice to meet and v can chat..
0,Ew are you one of them?
0,I'm working technical support :)voice process.networking field.
0,Oh k.i think most of wi and nz players unsold.
0,"Its good, we'll find a way"
0,No my mum went 2 dentist.
0,I'm meeting Darren...
0,Jus finish blowing my hair. U finish dinner already?
0,If we win its really no 1 side for long time.
0,How was txting and driving
0,Cos i want it to be your thing
0,Its sarcasm.. .nt scarcasim
0,jay says he'll put in  &lt;#&gt;
0,If u sending her home first it's ok lor. I'm not ready yet.
0,You see the requirements please
0,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
0,U can call me now...
0,"Babe, I need your advice"
0,Text her. If she doesnt reply let me know so i can have her log in
0,Jay's getting really impatient and belligerent
0,In work now. Going have in few min.
0,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
0,Ladies first and genus second k .
0,I'm aight. Wat's happening on your side.
0,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
0,Booked ticket for pongal?
0,"Sir, i am waiting for your call, once free please call me."
0,I'm thinking that chennai forgot to come for auction..
0,Boy you best get yo ass out here quick
0,Convey my regards to him
0,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
0,Thankyou so much for the call. I appreciate your care.
0,Yes fine 
0,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
0,Well she's in for a big surprise!
0,"K so am I, how much for an 8th? Fifty?"
0,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
0,So wat's da decision?
0,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
0,I will come tomorrow di
0,Hi. Hope you had a good day. Have a better night.
0,Wat u doing there?
0,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
0,Hi mom we might be back later than  &lt;#&gt; 
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
0,Dont talk to him ever ok its my word.
0,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
0,Shhhhh nobody is supposed to know!
0,have you ever had one foot before?
0,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
0,Full heat pa:-) i have applyed oil pa.
0,Okie
0,"Nothing, i got msg frm tht unknown no.."
0,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
0,Please sen :)my kind advice :-)please come here and try:-)
0,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
0,At what time are you coming.
