v1,v2
0,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
0,K..k.:)congratulation ..
0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
0,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
0,Lol. Well quality aint bad at all so i aint complaining
0,Kay... Since we are out already 
0,i thought we were doing a king of the hill thing there.
0,Yes but I don't care cause I know its there!
0,Lil fever:) now fine:)
0,Ok i thk i got it. Then u wan me 2 come now or wat?
0,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
0,"Aight no rush, I'll ask jay"
0,"Cool, text me when you're ready"
0,So why didnt you holla?
0,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
0,Dont let studying stress you out. L8r.
0,What pa tell me.. I went to bath:-)
0,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
0,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
0,Yeah jay's sort of a fucking retard
0,I dont know why she.s not getting your messages
0,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
0,Don't necessarily expect it to be done before you get back though because I'm just now headin out
0,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
0,Lol yeah at this point I guess not
0,Prakesh is there know.
0,We're on the opposite side from where we dropped you off
0,on hen night. Going with a swing
0,Went fast asleep dear.take care.
0,What you thinked about me. First time you saw me in class.
0,Simply sitting and watching match in office..
0,"Yeah sure, give me a couple minutes to track down my wallet"
0,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
0,You can jot down things you want to remember later.
0,Oh ic. I thought you meant mary jane.
0,Mmm so yummy babe ... Nice jolt to the suzy
0,Wish i were with you now!
0,I.ll post her out l8r. In class
0,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
0,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"
0,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
0,Ultimately tor motive tui achieve korli.
0,Customer place i will call you.
0,Dunno lei Ì_ all decide lor. How abt leona? Oops i tot ben is going n i msg him.
0,Thats cool. Where should i cum? On you or in you? :)
0,Rofl. Its true to its name
0,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
0,I was just callin to say hi. Take care bruv!
0,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
0,"Aight, let me know when you're gonna be around usf"
0,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
0,Then she buying today? ÌÏ no need to c meh...
0,Your bill at 3 is å£33.65 so thats not bad!
0,So gd got free ice cream... I oso wan...
0,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
0,True. Its easier with her here.
0,Match started.india  &lt;#&gt;  for 2
0,I'm done. C Ì_ there.
0,Cant think of anyone with * spare room off * top of my head
0,Hey i'm bored... So i'm thinking of u... So wat r u doing?
0,R u saying i should re order the slippers cos i had to pay for returning it.
0,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
0,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
0,And now electricity just went out fml.
0,Thanx...
0,"K, wait chikku..il send aftr  &lt;#&gt; mins"
0,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
0,"Cool, text me when you head out"
0,Am okay. Will soon be over. All the best
0,No. But we'll do medical missions to nigeria
0,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
0,"K, I might come by tonight then if my class lets out early"
0,"K, if u bored up just come to my home.."
0,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
0,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
0,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...
0,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
0,Get me out of this dump heap. My mom decided to come to lowes. BORING.
0,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
0,"Ok da, i already planned. I wil pick you."
0,Hi' Test on  &lt;#&gt; rd ....
0,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
0,Now thats going to ruin your thesis!
0,Sounds great! Im going to sleep now. Have a good night!
0,U should have made an appointment
0,Jus finish blowing my hair. U finish dinner already?
0,"Aight, tomorrow around  &lt;#&gt;  it is"
0,"Greetings me, ! Consider yourself excused."
0,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
0,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
0,Wishing you a wonderful week.
0,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
0,"What part of \don't initiate\"" don't you understand"""
0,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
0,I need... Coz i never go before 
0,Thats cool! I am a gentleman and will treat you with dignity and respect.
0,Was the farm open?
0,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
0,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
0,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
0,Yes:)from last week itself i'm taking live call.
0,"Yeah, that's fine! It's å£6 to get in, is that ok? "
0,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
0,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
0,"Aight, I'm chillin in a friend's room so text me when you're on the way"
0,Can you do online transaction?
0,Jay says that you're a double-faggot
0,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
0,I think asking for a gym is the excuse for lazy people. I jog.
0,Gudnite....tc...practice going on
0,* Will be september by then!
0,What happen dear tell me
0,Boo what time u get out? U were supposed to take me shopping today. :(
0,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\"""""
0,Dear where you. Call me
0,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
0,How are you doing. How's the queen. Are you going for the royal wedding
0,Would me smoking you out help us work through this difficult time
0,Me n him so funny...
0,Also remember the beads don't come off. Ever.
0,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!
0,Holy living christ what is taking you so long
0,I am waiting for your call sir.
0,Hope you are not scared!
0,"Hmm well, night night "
0,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
0,Wot about on wed nite I am 3 then but only til 9!
0,Yeah whatever lol
0,Hello madam how are you ?
0,Does she usually take fifteen fucking minutes to respond to a yes or no question
0,Din i tell u jus now 420
0,"ItÛ÷s reassuring, in this crazy world."
0,Yeah but which is worse for i
0,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
0,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?"
0,No probs hon! How u doinat the mo?
0,Loosu go to hospital. De dont let it careless.
0,jay says he'll put in  &lt;#&gt;
0,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
0,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
0,Doing project w frens lor. 
0,Hi. I'm sorry i missed your call. Can you pls call back.
0,"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)"""
0,Finally the match heading towards draw as your prediction.
0,Well I'm going to be an aunty!
0,Great to hear you are settling well. So what's happenin wit ola?
0,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
0,No b4 Thursday
0,You still around? I could use a half-8th
0,Then anything special?
0,Not directly behind... Abt 4 rows behind Ì_...
0,"Cool, I'll text you in a few"
0,Aaooooright are you at work?
0,Am going to take bath ill place the key in window:-)
0,Then why no one talking to me
0,Understand. his loss is my gain :) so do you work? School?
0,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
0,Juz go google n search 4 qet...
0,"Sorry that took so long, omw now"
0,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
0,Do we have any spare power supplies
0,Are you available for soiree on June 3rd?
0,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
0,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits"
0,It vl bcum more difficult..
0,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
0,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
0,Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.
0,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...
0,K and you're sure I don't have to have consent forms to do it :V
0,Wat's da model num of ur phone?
0,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
0,Haha... can... But i'm having dinner with my cousin...
0,When/where do I pick you up
0,Text her. If she doesnt reply let me know so i can have her log in
0,Mine here like all fr china then so noisy.
0,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
0,Going to take your babe out ?
0,Thats cool. I want to please you...
0,Where is it. Is there any opening for mca.
