v1,v2
0,There bold 2  &lt;#&gt; . Is that yours
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
0,Not course. Only maths one day one chapter with in one month we can finish.
0,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
0,K and you're sure I don't have to have consent forms to do it :V
0,So are you guys asking that i get that slippers again or its gone with last year
0,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
0,R u still working now?
0,Haiyoh... Maybe your hamster was jealous of million
0,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
0,JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME
0,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
0,I love to cuddle! I want to hold you in my strong arms right now...
0,"K, want us to come by now?"
0,Where are you call me.
0,I keep ten rs in my shelf:) buy two egg.
0,"Wat time liao, where still got."
0,Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x
0,Does daddy have a bb now.
0,Mine here like all fr china then so noisy.
0,"What part of \don't initiate\"" don't you understand"""
0,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
0,Yo sorry was in the shower sup
0,Yup but not studying surfing lor. I'm in e lazy mode today.
0,"Ha. You donÛ÷t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
0,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
0,Ok then i will come to ur home after half an hour
0,Not a drop in the tank
0,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
0,Hey gals...U all wanna meet 4 dinner at nÌÂte? 
0,Congrats kano..whr s the treat maga?
0,Yup song bro. No creative. Neva test quality. He said check review online.
0,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
0,Are you at work right now ?
0,"If you want to mapquest it or something look up \usf dogwood drive\"""
0,I'm done...
0,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
0,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
0,It is a good thing I'm now getting the connection to bw
0,Where's my boytoy? I miss you ... What happened?
0,Can you do a mag meeting this avo at some point?
0,"&lt;#&gt; , that's all? Guess that's easy enough"
0,We left already we at orchard now.
0,S...i will take mokka players only:)
0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
0,Want to finally have lunch today?
0,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"
0,I have many dependents
0,Da is good good player.why he is unsold.
0,Ok then i come n pick u at engin?
0,Where at were hungry too
0,U're welcome... Caught u using broken english again...
0,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
0,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
0,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
0,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
0,K.k:)when are you going?
0,Happy New Year Princess!
0,Nothing spl..wat abt u and whr ru?
0,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
0,I donno if they are scorable
0,"Yo, you at jp and hungry like a mofo?"
0,How come she can get it? Should b quite diff to guess rite...
0,You got called a tool?
0,Thanks for looking out for me. I really appreciate.
0,Sian... Aft meeting supervisor got work 2 do liao... U working now?
0,Oh ya ya. I remember da. .
0,Po de :-):):-):-):-). No need job aha.
0,Short But Cute: \Be a good person
0,Hey mr whats the name of that bill brison book the one about language and words 
0,My planning usually stops at \find hella weed
0,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
0,There is a first time for everything :)
0,Where did u go? My phone is gonna die you have to stay in here
0,I dled 3d its very imp
0,What pa tell me.. I went to bath:-)
0,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
0,Where are the garage keys? They aren't on the bookshelf
0,"No I'm good for the movie, is it ok if I leave in an hourish?"
0,K:)k:)good:)study well.
0,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
0,Nope i waiting in sch 4 daddy... 
0,"Haven't seen my facebook, huh? Lol!"
0,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
0,No let me do the math. Your not good at it.
0,Then what about further plan?
0,Or remind me in a few hrs.
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
0,Then she dun believe wat?
0,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
0,Exactly. Anyways how far. Is jide her to study or just visiting
0,No probably  &lt;#&gt; %.
0,Aiyo please Ì_ got time meh.
0,Guess he wants alone time. We could just show up and watch when they do..
0,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
0,"Aight yo, dats straight dogg"
0,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
0,Audrie lousy autocorrect
0,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
0,I am waiting machan. Call me once you free.
0,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
0,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
0,Sorry about that this is my mates phone and i didnt write it love Kate
0,The evo. I just had to download flash. Jealous?
0,Yes see ya not on the dot
0,Only once then after ill obey all yours.
0,No de. But call me after some time. Ill tell you k
0,G wants to know where the fuck you are
0,I am 6 ft. We will be a good combination!
0,\SHIT BABE.. THASA BIT MESSED UP.YEH
0,So lets make it saturday or monday as per convenience.
0,Yes we are chatting too.
0,Where are you?when wil you reach here?
0,"I'm home, my love ... If your still awake ... *loving kiss*"
0,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
0,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
0,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
0,Dude im no longer a pisces. Im an aquarius now.
0,Come to medical college at 7pm ......forward it da
0,Unlimited texts. Limited minutes.
0,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
0,"Carlos took a while (again), we leave in a minute"
0,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
0,Can... I'm free...
0,Dear i am not denying your words please
0,Hope you are having a great day.
0,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
0,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
0,Both :) i shoot big loads so get ready!
0,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
0,Mm you ask him to come its enough :-)
0,on hen night. Going with a swing
0,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
0,Ok then no need to tell me anything i am going to sleep good night
0,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
0,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
0,Where r we meeting?
0,Well good morning mr . Hows london treatin' ya treacle?
0,Ok can...
0,2 and half years i missed your friendship:-)
0,o turns out i had stereo love on mi phone under the unknown album.
0,As in different styles?
0,Yar lor... How u noe? U used dat route too?
0,Id have to check but there's only like 1 bowls worth left
0,"Hm good morning, headache anyone? :-)"
0,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
0,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke
0,"Yes but i dont care! I need you bad, princess!"
0,Do u knw dis no. &lt;#&gt; ?
0,"K, I might come by tonight then if my class lets out early"
0,"Yep, by the pretty sculpture"
0,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
0,"Ya tel, wats ur problem.."
0,Will purchase d stuff today and mail to you. Do you have a po box number?
0,WHORE YOU ARE UNBELIEVABLE.
0,"And that's fine, I got enough bud to last most of the night at least"
0,"If i let you do this, i want you in the house by 8am."
0,K. I will sent it again
0,No chikku nt yet.. Ya i'm free
0,"Haha... Sounds crazy, dunno can tahan anot..."
0,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
0,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
0,"I can. But it will tell quite long, cos i haven't finish my film yet..."
0,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
0,Happy new years melody!
0,I finished my lunch already. U wake up already?
0,Went fast asleep dear.take care.
0,Wat time Ì_ finish?
0,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
0,LOL what happens in Vegas stays in vegas
0,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
0,ÌÏ mean it's confirmed... I tot they juz say oni... Ok then... 
0,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
0,K.k:)advance happy pongal.
0,....photoshop makes my computer shut down.
0,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
0,Hhahhaahahah rofl wtf nig was leonardo in your room or something
0,"Aight, sounds good. When do you want me to come down?"
0,Aiyar sorry lor forgot 2 tell u...
0,Go where n buy? Juz buy when we get there lar.
0,From tomorrow onwards eve 6 to 3 work.
0,ok....take care.umma to you too...
0,Will Ì_ b going to esplanade fr home?
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
0,Still at west coast... Haiz... ÌÏ'll take forever to come back...
0,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
0,Can Ì_ call me at 10:10 to make sure dat i've woken up...
0,Be sure to check your yahoo email. We sent photos yesterday
0,En chikku nange bakra msg kalstiya..then had tea/coffee?
0,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
0,Hey i've booked the 2 lessons on sun liao...
0,U attend ur driving lesson how many times a wk n which day?
0,I can't describe how lucky you are that I'm actually awake by noon
0,"Trust me. Even if isn't there, its there."
0,Compliments to you. Was away from the system. How your side.
0,Mathews or tait or edwards or anderson
0,Its normally hot mail. Com you see!
0,None of that's happening til you get here though
0,U in town alone?
