v1,v2
0,Me too baby! I promise to treat you well! I bet you will take good care of me...
0,"It could work, we'll reach a consensus at the next meeting"
0,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
0,I'm in town now so i'll jus take mrt down later.
0,Oops my phone died and I didn't even know. Yeah I like it better.
0,Your daily text from me ÛÒ a favour this time
0,"Aight, call me once you're close"
0,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
0,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
0,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
0,Oh did you charge camera
0,Idea will soon get converted to live:)
0,Oh all have to come ah?
0,"What i mean was i left too early to check, cos i'm working a 9-6."
0,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
0,Dont think so. It turns off like randomlly within 5min of opening
0,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
0,O ic lol. Should play 9 doors sometime yo
0,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
0,Boo. How's things? I'm back at home and a little bored already :-(
0,Ok lor Ì_ reaching then message me.
0,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
0,Oic... I saw him too but i tot he din c me... I found a group liao...
0,Now? I'm going out 4 dinner soon..
0,Oh ok i didnt know what you meant. Yep i am baby jontin
0,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
0,I don't know but I'm raping dudes at poker
0,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway
0,have * good weekend.
0,I am joining today formally.Pls keep praying.will talk later.
0,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
0,"Aight, sounds good. When do you want me to come down?"
0,You flippin your shit yet?
0,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
0,Tell them the drug dealer's getting impatient
0,Yar but they say got some error.
0,Aiya we discuss later lar... Pick Ì_ up at 4 is it?
0,Have you got Xmas radio times. If not i will get it now
0,Sent me de webadres for geting salary slip
0,Aiyah ok wat as long as got improve can already wat...
0,ALRITE
0,I am in bus on the way to calicut
0,Even i cant close my eyes you are in me our vava playing umma :-D
0,Dont gimme that lip caveboy
0,U buy newspapers already?
0,Jus finish bathing...
0,"Maybe westshore or hyde park village, the place near my house?"
0,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
0,Well boy am I glad G wasted all night at applebees for nothing
0,So when do you wanna gym harri
0,"Just wondering, the others just took off"
0,WHITE FUDGE OREOS ARE IN STORES
0,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
0,Sorry for the delay. Yes masters
0,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
0,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
0,Got meh... When?
0,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
0,I'm leaving my house now...
0,It has issues right now. Ill fix for her by tomorrow.
